nohup: ignoring input
Dataset: Chinatown
Arguments: Namespace(run_name='ts2vec-5d', gpu=0, batch_size=8, lr=0.001, repr_dims=320, max_train_length=3000, iters=None, epochs=None, save_every=None, seed=42, depth=5, max_threads=8, eval=True)
Loading data... done. train_data shape: (20, 24, 1)
# Run 0
Epoch #0: loss=15.490201473236084
Epoch #1: loss=9.907373428344727
Epoch #2: loss=4.7899696826934814
Epoch #3: loss=3.8292224407196045
Epoch #4: loss=2.601540684700012
Epoch #5: loss=2.319780707359314
Epoch #6: loss=2.1367201805114746
Epoch #7: loss=2.193742871284485
Epoch #8: loss=2.206351399421692
Epoch #9: loss=2.0861696004867554
Epoch #10: loss=1.9960925579071045
Epoch #11: loss=1.8570746183395386
Epoch #12: loss=2.0493862628936768
Epoch #13: loss=2.1584222316741943
Epoch #14: loss=1.932005763053894
Epoch #15: loss=2.045452117919922
Epoch #16: loss=2.067840099334717
Epoch #17: loss=2.134217619895935
Epoch #18: loss=2.1691120862960815
Epoch #19: loss=1.796184003353119
Epoch #20: loss=1.860985815525055
Epoch #21: loss=1.7504929900169373
Epoch #22: loss=1.9767314195632935
Epoch #23: loss=1.8287960886955261
Epoch #24: loss=2.003346860408783
Epoch #25: loss=1.7930600047111511
Epoch #26: loss=2.0133082270622253
Epoch #27: loss=1.8953043818473816
Epoch #28: loss=1.936202883720398
Epoch #29: loss=2.110396146774292
Epoch #30: loss=1.8448681235313416
Epoch #31: loss=1.8509970307350159
Epoch #32: loss=1.8753093481063843
Epoch #33: loss=1.9815109372138977
Epoch #34: loss=1.7707807421684265
Epoch #35: loss=1.859489381313324
Epoch #36: loss=1.8668661713600159
Epoch #37: loss=1.952671468257904
Epoch #38: loss=1.9552196264266968
Epoch #39: loss=1.734290361404419
Epoch #40: loss=1.7942519783973694
Epoch #41: loss=1.8135395646095276
Epoch #42: loss=1.675583004951477
Epoch #43: loss=1.6220521330833435
Epoch #44: loss=1.8445037603378296
Epoch #45: loss=1.8111011385917664
Epoch #46: loss=1.8065014481544495
